"p","output"
0.2655086631421,1
0.37212389963679,2
0.572853363351896,5
0.908207789994776,9
0.201681931037456,3
0.898389684967697,9
0.944675268605351,9
0.660797792486846,3
0.62911404389888,7
0.0617862704675645,1
0.621710539329797,3
0.621710539329797,5
0.621710539329797,5
0.621710539329797,5
0.621710539329797,6
0.776760758133605,9
0.776760758133605,7
0.776760758133605,7
0.776760758133605,8
0.776760758133605,5
0.496040021069348,3
0.496040021069348,8
0.496040021069348,6
0.496040021069348,5
0.496040021069348,2
0.38894953019917,2
0.38894953019917,3
0.38894953019917,3
0.38894953019917,5
0.38894953019917,4
0.874350391793996,10
0.874350391793996,9
0.874350391793996,9
0.874350391793996,7
0.874350391793996,9
0.533002879237756,5
0.533002879237756,5
0.533002879237756,7
0.533002879237756,5
0.533002879237756,6
0.685721946647391,6
0.685721946647391,8
0.685721946647391,9
0.685721946647391,8
0.685721946647391,7
0.354825745802373,6
0.354825745802373,4
0.354825745802373,5
0.354825745802373,2
0.354825745802373,3
0.787366146920249,9
0.787366146920249,9
0.787366146920249,6
0.787366146920249,5
0.787366146920249,9
0.433321617776528,7
0.433321617776528,6
0.433321617776528,3
0.433321617776528,3
0.433321617776528,6
0.702361934818327,6
0.702361934818327,8
0.702361934818327,8
0.702361934818327,9
0.702361934818327,8
0.298930106451735,4
0.298930106451735,4
0.298930106451735,5
0.298930106451735,2
0.298930106451735,3
0.673814852023497,7
0.673814852023497,8
0.673814852023497,4
0.673814852023497,7
0.673814852023497,9
0.627384358318523,7
0.627384358318523,6
0.627384358318523,7
0.627384358318523,6
0.627384358318523,9
0.487160608172417,4
0.487160608172417,5
0.487160608172417,5
0.487160608172417,5
0.487160608172417,3
0.85001772060059,6
0.85001772060059,8
0.85001772060059,9
0.85001772060059,9
0.85001772060059,9
0.103677100734785,0
0.103677100734785,2
0.103677100734785,1
0.103677100734785,0
0.103677100734785,0
0.635038453619927,5
0.635038453619927,8
0.635038453619927,9
0.635038453619927,7
0.635038453619927,6
0.451041280059144,6
0.451041280059144,3
0.451041280059144,3
0.451041280059144,6
0.451041280059144,4
0.744256696198136,7
0.744256696198136,7
0.744256696198136,7
0.744256696198136,9
0.744256696198136,10
0.786264062859118,7
0.786264062859118,6
0.786264062859118,7
0.786264062859118,8
0.786264062859118,8
0.596843508537859,7
0.596843508537859,7
0.596843508537859,7
0.596843508537859,8
0.596843508537859,7
0.209792542504147,4
0.209792542504147,2
0.209792542504147,2
0.209792542504147,1
0.209792542504147,1
0.32524600927718,1
0.32524600927718,3
0.32524600927718,4
0.32524600927718,2
0.32524600927718,3
0.64439978892915,6
0.64439978892915,4
0.64439978892915,9
0.64439978892915,5
0.64439978892915,7
0.434993905946612,5
0.434993905946612,7
0.434993905946612,4
0.434993905946612,3
0.434993905946612,2
0.153906658524647,0
0.153906658524647,2
0.153906658524647,1
0.153906658524647,1
0.153906658524647,3
0.807130407076329,9
0.807130407076329,9
0.807130407076329,10
0.807130407076329,9
0.807130407076329,8
0.0194477401673794,0
0.0194477401673794,0
0.0194477401673794,0
0.0194477401673794,0
0.0194477401673794,0
0.0511452376376837,0
0.0511452376376837,0
0.0511452376376837,0
0.0511452376376837,0
0.0511452376376837,0
0.410325585165992,4
0.410325585165992,5
0.410325585165992,2
0.410325585165992,3
0.410325585165992,3
0.342267978470773,4
0.342267978470773,4
0.342267978470773,5
0.342267978470773,6
0.342267978470773,5
0.60534125380218,6
0.60534125380218,7
0.60534125380218,7
0.60534125380218,5
0.60534125380218,4
0.989779132651165,10
0.989779132651165,10
0.989779132651165,10
0.989779132651165,10
0.989779132651165,10
0.284518116619438,2
0.284518116619438,1
0.284518116619438,2
0.284518116619438,3
0.284518116619438,1
0.639557026326656,6
0.639557026326656,6
0.639557026326656,6
0.639557026326656,7
0.639557026326656,4
0.405866417102516,6
0.405866417102516,6
0.405866417102516,7
0.405866417102516,3
0.405866417102516,4
0.456690283725038,2
0.456690283725038,5
0.456690283725038,9
0.456690283725038,4
0.456690283725038,5
